type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
PAYMENT,7086.57,C1333351861,72758.0,65671.43,M832970083,0.0,0.0,0
CASH_IN,198724.77,C1795022522,16506.0,215230.77,C869773995,84792.48,0.0,0
CASH_OUT,183780.27,C1332739625,84953.0,0.0,C1212538053,558876.12,742656.39,0
CASH_OUT,431329.47,C1611434099,51935.0,0.0,C1352028656,75613.64,506943.11,0
CASH_IN,150407.11,C893623059,11400000.0,11600000.0,C180831575,209240.2,58833.09,0
CASH_OUT,338090.78,C1086191941,52261.0,0.0,C842014000,189496.3,527587.08,0
CASH_IN,140327.0,C1926380158,5834177.31,5974504.31,C1022765941,197228.9,56901.9,0
CASH_IN,77083.57,C1040382471,38400000.0,38400000.0,C1940815076,180735.97,103652.4,0
CASH_IN,198404.49,C609774880,1658991.49,1857395.98,C2083117811,3923631.73,3725227.24,0
CASH_OUT,542370.54,C451877081,0.0,0.0,C1108098323,705466.3,1247836.85,0
CASH_IN,127097.41,C425655474,1827598.26,1954695.67,C144436412,228219.35,102148.74,0
CASH_OUT,13335.46,C388314688,20861.0,7525.54,C839431155,0.0,13335.46,0
CASH_OUT,124234.05,C505260275,0.0,0.0,C102125325,298820.0,869899.58,0
PAYMENT,9417.89,C221614410,567395.38,557977.48,M1384654065,0.0,0.0,0
CASH_IN,92207.17,C1185042522,2389344.73,2481551.9,C1694739242,166753.67,74546.5,0
PAYMENT,4111.26,C1673244636,88178.0,84066.74,M1672315028,0.0,0.0,0
CASH_OUT,248940.39,C1614540329,0.0,0.0,C1610237199,330835.63,579776.02,0
PAYMENT,24975.92,C1569207705,0.0,0.0,M2011081464,0.0,0.0,0
CASH_OUT,77103.99,C1002073043,81.0,0.0,C1078598343,295065.9,372169.89,0
PAYMENT,8735.0,C1846958242,31479.0,22744.0,M813503125,0.0,0.0,0
CASH_IN,193099.05,C2052232815,3875843.1,4068942.15,C1094445496,326051.52,132952.47,0
PAYMENT,19651.17,C1298486111,267063.59,247412.43,M1658180296,0.0,0.0,0
PAYMENT,6769.95,C2099470744,32316.0,25546.05,M1980578987,0.0,0.0,0
CASH_OUT,204979.55,C940209528,51472.0,0.0,C1006419518,943953.92,1148933.47,0
CASH_IN,9890.06,C1924042147,255775.46,265665.53,C1474518216,431817.34,421927.27,0
CASH_IN,319811.3,C1482620188,9254.0,329065.3,C567781257,416353.75,96542.44,0
CASH_OUT,145878.02,C1748128086,0.0,0.0,C1675669008,169557.94,315435.96,0
CASH_OUT,189313.2,C1956682597,10783.0,0.0,C1114881449,643821.48,833134.68,0
CASH_OUT,286249.05,C1427360971,209370.53,0.0,C1381376705,5776498.95,5868216.48,0
TRANSFER,605080.51,C21050304,15992.52,0.0,C1432083914,1616607.04,2147294.72,0
PAYMENT,1007.86,C1458589337,598649.16,597641.3,M1653195048,0.0,0.0,0
CASH_IN,39431.19,C606311013,1026857.4,1066288.59,C1837778213,2320928.01,2281496.82,0
CASH_OUT,90924.13,C315818977,178934.57,88010.45,C2056822789,388990.74,479914.87,0
PAYMENT,10765.84,C1280739138,0.0,0.0,M1638936369,0.0,0.0,0
CASH_IN,229554.98,C522603947,1113655.32,1343210.3,C1743392590,286279.92,56724.94,0
CASH_OUT,99467.5,C1037021478,0.0,0.0,C61401408,281129.46,380596.95,0
PAYMENT,5980.09,C362381511,0.0,0.0,M1026270534,0.0,0.0,0
CASH_OUT,195692.42,C1255780505,0.0,0.0,C374540077,751670.05,1006282.45,0
CASH_OUT,466647.52,C1894984671,13758.0,0.0,C1071289772,81708.03,548355.55,0
CASH_OUT,163562.55,C1655901430,0.0,0.0,C449382513,453113.83,365099.76,0
CASH_OUT,19134.29,C1021737637,0.0,0.0,C1234206326,607591.27,626725.56,0
CASH_IN,92019.89,C1481489438,95206.0,187225.89,C992174964,408769.88,316749.99,0
PAYMENT,11163.58,C1066672581,10661.0,0.0,M1063817989,0.0,0.0,0
PAYMENT,13757.61,C2027085489,0.0,0.0,M1669185719,0.0,0.0,0
TRANSFER,100556.63,C822357974,25417.0,0.0,C399274828,0.0,100556.63,0
PAYMENT,16056.66,C986736606,31700.18,15643.51,M580427171,0.0,0.0,0
CASH_IN,134843.87,C1069973354,42037.0,176880.87,C50317758,23776.23,0.0,0
PAYMENT,1553.33,C735555212,191037.0,189483.67,M2064730629,0.0,0.0,0
PAYMENT,8983.51,C1351744167,191944.0,182960.49,M1100862577,0.0,0.0,0
PAYMENT,12286.81,C909820356,8068.57,0.0,M384891313,0.0,0.0,0
PAYMENT,6973.27,C1498627587,0.0,0.0,M1856472325,0.0,0.0,0
CASH_OUT,382729.71,C2096065961,428772.55,46042.84,C371493653,1208590.72,1751330.22,0
CASH_IN,14784.55,C817192247,1833844.9,1848629.45,C1953807246,186133.95,171349.4,0
PAYMENT,1170.23,C627857943,0.0,0.0,M668365527,0.0,0.0,0
PAYMENT,40630.91,C172015761,556902.49,516271.57,M1606578521,0.0,0.0,0
PAYMENT,17502.3,C709520609,104992.48,87490.18,M1977507871,0.0,0.0,0
TRANSFER,266440.85,C1909972489,0.0,0.0,C1031639563,17100000.0,17300000.0,0
CASH_OUT,302629.27,C822383399,0.0,0.0,C1805130288,4037164.31,4339793.57,0
CASH_OUT,35567.42,C615593515,51730.0,16162.58,C608007338,895138.53,930705.95,0
TRANSFER,43662.98,C1242323746,12402.0,0.0,C686074012,0.0,43662.98,0
CASH_OUT,29912.74,C745130699,2889.0,0.0,C1302130057,0.0,29912.74,0
CASH_OUT,281229.02,C912339531,1084.0,0.0,C167373608,377001.63,658230.66,0
CASH_OUT,192672.65,C513096693,0.0,0.0,C407287420,372967.16,565639.81,0
PAYMENT,11137.45,C588710589,51757.78,40620.33,M1444071329,0.0,0.0,0
PAYMENT,16505.17,C1117427987,0.0,0.0,M1499781353,0.0,0.0,0
TRANSFER,872034.04,C146988760,51808.0,0.0,C1867096421,609353.58,1314049.58,0
CASH_OUT,30816.62,C926694001,0.0,0.0,C146526407,32099.5,62916.13,0
PAYMENT,16407.7,C304022722,15459.0,0.0,M2070478173,0.0,0.0,0
CASH_OUT,136908.99,C596994505,0.0,0.0,C1919549402,1600683.03,1815877.87,0
CASH_OUT,623924.82,C1296733757,24641.12,0.0,C1859022150,932384.38,1556309.2,0
CASH_OUT,158637.06,C175549120,16468.0,0.0,C256516555,2381776.7,2670777.66,0
PAYMENT,10793.57,C1713415954,73656.0,62862.43,M220782954,0.0,0.0,0
PAYMENT,4651.96,C1543168019,0.0,0.0,M869446006,0.0,0.0,0
CASH_OUT,51068.15,C862370148,57571.0,6502.85,C1575652054,3249499.39,4755024.36,0
CASH_OUT,3310.19,C212112438,37.0,0.0,C1627004802,181672.01,184982.2,0
PAYMENT,31986.41,C323286688,0.0,0.0,M261261630,0.0,0.0,0
CASH_OUT,358654.2,C976450486,26241.0,0.0,C432151977,8741.0,982081.78,0
CASH_IN,485246.43,C938595031,1262441.32,1747687.75,C106419152,1997021.45,2091658.49,0
CASH_IN,225211.07,C1726005273,3667596.64,3892807.71,C607799842,1227093.32,1001882.25,0
PAYMENT,11280.81,C474432457,14490.0,3209.19,M829065138,0.0,0.0,0
CASH_OUT,158407.86,C1983654868,30814.0,0.0,C1355103315,0.0,158407.86,0
CASH_IN,74398.55,C154805796,1243739.99,1318138.53,C896552422,283329.8,208931.25,0
PAYMENT,389.34,C545574665,135954.02,135564.68,M611901190,0.0,0.0,0
CASH_OUT,786.34,C142338924,0.0,0.0,C908663377,1087462.33,1088248.67,0
PAYMENT,6856.45,C2035048340,50361.0,43504.55,M1860004086,0.0,0.0,0
CASH_OUT,165395.52,C597986754,42297.0,0.0,C611602193,575670.39,616651.73,0
TRANSFER,216345.76,C76718694,0.0,0.0,C1628577870,323393.45,539739.21,0
PAYMENT,22566.69,C1444990562,0.0,0.0,M1119861531,0.0,0.0,0
PAYMENT,6395.86,C361731120,0.0,0.0,M403061667,0.0,0.0,0
PAYMENT,10927.97,C1556472560,0.0,0.0,M928225745,0.0,0.0,0
PAYMENT,18483.26,C671856253,0.0,0.0,M602233753,0.0,0.0,0
CASH_OUT,221778.38,C987083919,20441.0,0.0,C827947813,0.0,221778.38,0
PAYMENT,19001.76,C536597871,0.0,0.0,M742242284,0.0,0.0,0
PAYMENT,4227.69,C1774028732,338209.0,333981.31,M446820825,0.0,0.0,0
CASH_OUT,346984.17,C473366345,0.0,0.0,C1634787088,3150484.54,3497468.71,0
PAYMENT,11408.22,C106090741,0.0,0.0,M600695980,0.0,0.0,0
CASH_IN,356151.13,C650467206,3892657.78,4248808.91,C231037736,2949412.84,2593261.71,0
CASH_IN,96802.59,C2005130823,145636.0,242438.59,C1156532972,2332581.89,2235779.31,0
PAYMENT,16044.69,C1631573272,7495.0,0.0,M1675868683,0.0,0.0,0
PAYMENT,27724.85,C594434482,92317.9,64593.04,M647691847,0.0,0.0,0
CASH_OUT,255852.32,C1923432267,32133.0,0.0,C712211925,0.0,255852.32,0
CASH_OUT,85154.56,C1298269046,6574.0,0.0,C683312335,0.0,85154.56,0
PAYMENT,10771.58,C1556904003,527236.31,516464.74,M1658592965,0.0,0.0,0
PAYMENT,8383.55,C194887372,0.0,0.0,M140474869,0.0,0.0,0
CASH_IN,54324.79,C512118112,2750383.43,2804708.23,C83378060,2738570.68,2684245.88,0
CASH_OUT,158394.47,C905131452,0.0,0.0,C884399304,298033.46,456427.93,0
PAYMENT,5272.12,C900228253,192.0,0.0,M2145709164,0.0,0.0,0
CASH_OUT,119354.15,C146024202,50690.0,0.0,C215581475,422262.41,541616.56,0
PAYMENT,63058.81,C1574526028,0.0,0.0,M1665938621,0.0,0.0,0
PAYMENT,14799.12,C1499798148,302531.82,287732.7,M486167958,0.0,0.0,0
CASH_OUT,226432.94,C2103195125,9942.0,0.0,C471506708,528605.84,699965.81,0
PAYMENT,3452.37,C905377588,303224.31,299771.94,M513374505,0.0,0.0,0
CASH_OUT,239806.85,C624579920,0.0,0.0,C518185827,848916.61,2130632.68,0
PAYMENT,2701.91,C715696702,29875.0,27173.09,M1729533104,0.0,0.0,0
PAYMENT,20717.98,C831200085,0.0,0.0,M428378968,0.0,0.0,0
CASH_IN,66070.54,C2063270294,84860.0,150930.54,C1163480574,10400000.0,10300000.0,0
PAYMENT,5509.43,C1375064765,3744.0,0.0,M1631290931,0.0,0.0,0
PAYMENT,74.91,C1998296540,13355.0,13280.09,M1758580621,0.0,0.0,0
PAYMENT,9576.04,C1734458511,0.0,0.0,M941765013,0.0,0.0,0
CASH_OUT,106314.91,C848262160,82399.0,0.0,C242098348,76283.92,182598.83,0
CASH_OUT,490526.71,C139478916,0.0,0.0,C1267159812,10300000.0,10800000.0,0
CASH_IN,142240.61,C1349316361,5206432.35,5348672.96,C955863203,148986.45,6745.85,0
CASH_OUT,6471.19,C1420768568,239033.0,232561.81,C417686196,0.0,6471.19,0
CASH_IN,271020.21,C578362265,5031497.69,5302517.9,C662267010,6566150.97,6295130.76,0
CASH_IN,61637.51,C674775871,7820944.55,7882582.06,C1329760387,294756.15,118048.77,0
CASH_OUT,152331.26,C942925545,152331.26,0.0,C1633587807,676868.23,829199.49,1
PAYMENT,20906.65,C1576771542,3641.0,0.0,M1476564323,0.0,0.0,0
CASH_OUT,175866.26,C1186997007,253442.0,77575.74,C1231035899,134767.51,0.0,0
CASH_OUT,146563.25,C250434705,0.0,0.0,C1286533327,1052480.03,1199043.29,0
CASH_IN,174261.87,C1166436197,18000000.0,18200000.0,C1211062565,198559.0,24297.13,0
DEBIT,3167.07,C1176001051,131947.57,128780.5,C1899073220,628145.74,877201.48,0
TRANSFER,261336.01,C607386018,0.0,0.0,C518962965,1662324.13,1923660.14,0
PAYMENT,2790.26,C42721954,0.0,0.0,M975496098,0.0,0.0,0
PAYMENT,13238.57,C1437461218,351735.01,338496.43,M1393018902,0.0,0.0,0
CASH_IN,70302.77,C653230207,205091.0,275393.77,C890578273,0.0,0.0,0
CASH_OUT,283740.23,C1157672750,0.0,0.0,C1951887655,767339.41,1033625.33,0
PAYMENT,1943.99,C1536667825,0.0,0.0,M200639474,0.0,0.0,0
CASH_OUT,225820.56,C1972698157,0.0,0.0,C849544684,716129.65,941950.21,0
CASH_OUT,79882.33,C1317502949,0.0,0.0,C2062905854,677768.92,757651.25,0
TRANSFER,75197.78,C2057360728,302938.0,227740.22,C1755192469,0.0,75197.78,0
CASH_OUT,71349.83,C753660380,0.0,0.0,C2146500848,352592.71,0.0,0
CASH_OUT,84614.3,C1392837117,79264.0,0.0,C855848542,0.0,84614.3,0
PAYMENT,8446.25,C1791224158,666388.91,657942.66,M882936238,0.0,0.0,0
CASH_IN,318431.73,C1504835116,842.0,319273.73,C1718028794,0.0,0.0,0
PAYMENT,20277.86,C1201054551,9269.48,0.0,M980210021,0.0,0.0,0
PAYMENT,4103.64,C1391279396,12723.16,8619.52,M730466598,0.0,0.0,0
CASH_IN,107645.87,C1157588372,73686.0,181331.87,C2039223686,703996.05,479235.09,0
CASH_IN,62577.02,C1494569832,9272369.34,9334946.36,C1508456612,8802531.15,8510493.07,0
CASH_OUT,42126.65,C1907823533,211475.0,169348.35,C201372680,21242.27,63368.92,0
PAYMENT,9291.2,C533053504,10994.0,1702.8,M782382017,0.0,0.0,0
PAYMENT,17821.67,C843061126,0.0,0.0,M618089859,0.0,0.0,0
PAYMENT,26172.19,C12829842,8097.0,0.0,M2068002354,0.0,0.0,0
PAYMENT,30604.84,C1569295848,87331.0,56726.16,M805445252,0.0,0.0,0
PAYMENT,28656.97,C1112751129,0.0,0.0,M1941216845,0.0,0.0,0
CASH_OUT,35816.43,C535799966,13973.0,0.0,C389748355,299358.02,335174.46,0
CASH_OUT,237660.18,C2084508810,24433.0,0.0,C1405541818,0.0,237660.18,0
PAYMENT,3914.02,C847739333,0.0,0.0,M1733705583,0.0,0.0,0
PAYMENT,2161.68,C2075192604,1898.0,0.0,M1371068117,0.0,0.0,0
CASH_OUT,54119.26,C1432650495,0.0,0.0,C2008189360,1249894.52,1304013.78,0
CASH_OUT,289726.43,C1365029305,20461.0,0.0,C738246139,155889.0,919550.69,0
CASH_OUT,480822.87,C1219607053,28213.0,0.0,C1021623816,0.0,311996.58,0
PAYMENT,11104.97,C25796796,61565.0,50460.03,M579069375,0.0,0.0,0
CASH_IN,136192.92,C1515027459,2039728.04,2175920.96,C1493103616,1551062.91,1414869.98,0
TRANSFER,602976.3,C1035095839,106860.0,0.0,C692027316,25977.79,509226.29,0
PAYMENT,154.74,C279553214,704950.0,704795.26,M665087900,0.0,0.0,0
CASH_IN,361943.19,C995172190,8171.0,370114.19,C1399417092,0.0,0.0,0
CASH_OUT,229511.75,C184360952,5806.97,0.0,C2007733166,1330292.15,1559803.9,0
CASH_IN,87259.63,C1562845779,10200000.0,10300000.0,C107122740,106388.56,19128.93,0
CASH_OUT,48604.57,C2040779140,308505.86,259901.29,C1544755390,15400000.0,15400000.0,0
PAYMENT,4867.58,C1873093371,0.0,0.0,M1288338122,0.0,0.0,0
CASH_OUT,66458.12,C1497654719,0.0,0.0,C1039302738,2253139.19,2319597.31,0
CASH_IN,143085.52,C1538201121,459062.26,602147.79,C471056246,6111328.88,5968243.36,0
CASH_IN,321503.51,C941345719,16200000.0,16500000.0,C295451635,419644.52,98141.01,0
CASH_IN,38117.88,C43991107,1426.0,39543.88,C391343422,0.0,283760.08,0
CASH_IN,245271.18,C1738120504,2034354.18,2279625.35,C228369097,985545.79,740274.61,0
PAYMENT,4712.86,C1421169258,17782.0,13069.14,M1668565306,0.0,0.0,0
CASH_OUT,355915.87,C728466498,563.0,0.0,C1747711503,1721233.62,2077149.49,0
CASH_OUT,427164.33,C315457774,15539.3,0.0,C1372356244,178590.58,605754.91,0
CASH_OUT,66738.62,C1016815041,0.0,0.0,C1728049474,1236339.66,1265246.33,0
PAYMENT,4606.62,C1611335662,52646.0,48039.38,M127292681,0.0,0.0,0
CASH_OUT,216441.42,C1624427741,0.0,0.0,C664057828,2838422.41,2622006.11,0
PAYMENT,16546.5,C2121966159,853710.0,837163.5,M1290996816,0.0,0.0,0
CASH_OUT,98308.39,C1873414418,12388.0,0.0,C1585551911,130643.65,322933.3,0
PAYMENT,3641.28,C513571564,37757.3,34116.01,M423585202,0.0,0.0,0
PAYMENT,2283.11,C1554085745,5581.0,3297.89,M1635587265,0.0,0.0,0
CASH_IN,80308.9,C2108564359,1497509.94,1577818.83,C824208363,3387972.54,3307663.65,0
CASH_IN,217730.69,C1050547313,0.0,217730.69,C656437561,993418.46,775687.77,0
PAYMENT,2160.09,C619596142,0.0,0.0,M711545825,0.0,0.0,0
CASH_IN,298558.57,C997771291,11500000.0,11800000.0,C85497347,1240014.19,1334844.61,0
CASH_OUT,150638.82,C1842105012,30112.0,0.0,C17510435,7532096.24,7682735.06,0
PAYMENT,4760.04,C2015870026,245.0,0.0,M1144517303,0.0,0.0,0
PAYMENT,4284.79,C1702474393,0.0,0.0,M621719397,0.0,0.0,0
CASH_IN,71899.92,C311331033,1074491.95,1146391.87,C632646357,89262.93,17363.01,0
TRANSFER,514365.71,C1333862567,0.0,0.0,C1930765902,4097793.33,4612159.04,0
CASH_OUT,267809.76,C1116064382,70936.0,0.0,C1503269693,101371.94,369181.71,0
CASH_OUT,244781.89,C204189888,51815.0,0.0,C474840074,14457.0,259238.89,0
PAYMENT,20025.03,C1456388748,2076028.62,2056003.59,M765734155,0.0,0.0,0
CASH_OUT,324020.65,C1914237670,0.0,0.0,C1362041447,391466.9,1367374.09,0
CASH_OUT,323969.29,C608958339,19479.0,0.0,C1914142850,61047.0,385016.29,0
CASH_IN,73829.0,C1208262378,2979341.57,3053170.56,C936455438,222132.5,148303.5,0
CASH_OUT,122898.32,C427126286,53281.0,0.0,C1273051518,21174.27,144072.59,0
PAYMENT,2421.33,C31033007,188701.0,186279.67,M1618409163,0.0,0.0,0
PAYMENT,22915.65,C213142512,0.0,0.0,M1989314438,0.0,0.0,0
TRANSFER,76969.96,C918212821,0.0,0.0,C184718120,755718.08,832688.04,0
CASH_OUT,158286.17,C1705692548,0.0,0.0,C703957828,7825526.96,7983813.13,0
CASH_OUT,248999.87,C1751896846,0.0,0.0,C1673971173,3195598.3,3991731.17,0
TRANSFER,107929.42,C2120029921,0.0,0.0,C874033894,580042.09,687971.51,0
CASH_IN,86581.47,C210627481,10138.0,96719.47,C928598842,185026.1,274848.05,0
PAYMENT,5902.32,C1731729238,168788.0,162885.68,M453866914,0.0,0.0,0
CASH_OUT,116050.47,C1529933053,43161.0,0.0,C1238715629,534522.27,650572.74,0
CASH_OUT,113398.82,C1111647566,0.0,0.0,C1042118330,413585.44,526984.27,0
PAYMENT,17649.27,C1573080863,0.0,0.0,M1010432958,0.0,0.0,0
CASH_IN,9219.47,C913090292,24600000.0,24600000.0,C1471479780,68230.63,59011.15,0
CASH_OUT,222293.2,C394434484,32281.0,0.0,C535706176,131420.87,43750.35,0
CASH_OUT,14867.99,C95080112,0.0,0.0,C990669025,382539.32,850604.91,0
CASH_IN,113314.94,C1042451026,8958484.59,9071799.52,C197981204,556975.67,443660.74,0
PAYMENT,14813.76,C1073979452,198013.84,183200.09,M1074698825,0.0,0.0,0
PAYMENT,895.92,C2105131227,0.0,0.0,M1351542594,0.0,0.0,0
CASH_OUT,216387.24,C1066558521,299831.0,83443.76,C1889043568,54493.61,186468.11,0
CASH_IN,180955.66,C493570518,54445.0,235400.66,C2129418295,11000000.0,10800000.0,0
PAYMENT,4724.15,C2078387379,67924.0,63199.85,M1244957666,0.0,0.0,0
PAYMENT,14821.79,C524184028,0.0,0.0,M1905483565,0.0,0.0,0
PAYMENT,3912.16,C1018707991,0.0,0.0,M177642178,0.0,0.0,0
CASH_OUT,159246.66,C2140150960,0.0,0.0,C1973999005,991670.51,1916794.83,0
CASH_OUT,231840.78,C141912741,572267.0,340426.22,C1662675436,38849.4,270690.18,0
CASH_IN,65214.03,C710088247,6183195.8,6248409.83,C399685190,118108.12,52894.1,0
PAYMENT,4485.24,C1082014062,237852.59,233367.35,M869537884,0.0,0.0,0
PAYMENT,3740.83,C606332555,0.0,0.0,M1829785626,0.0,0.0,0
CASH_OUT,236618.34,C1888754923,0.0,0.0,C480863671,736531.83,753775.92,0
CASH_OUT,253675.68,C1269911315,0.0,0.0,C1778520449,403982.23,657657.91,0
CASH_IN,619950.69,C755895986,2831742.29,3451692.97,C1848015235,1339834.88,719884.19,0
TRANSFER,488788.68,C704982137,0.0,0.0,C1734719138,2735990.58,3224779.26,0
CASH_IN,275461.61,C1120524473,2385072.09,2660533.71,C1254204284,278177.94,2716.33,0
TRANSFER,676798.7,C750393857,0.0,0.0,C1134206983,1499628.42,2176427.12,0
CASH_OUT,63401.54,C211709312,253182.47,189780.93,C2014164839,0.0,63401.54,0
CASH_IN,268331.77,C1144046274,11497.0,279828.77,C2077240548,230517.23,0.0,0
PAYMENT,1079.22,C1967229003,29143.0,28063.78,M2013082713,0.0,0.0,0
TRANSFER,3459507.38,C340874957,397.0,0.0,C2028021349,0.0,8357177.92,0
PAYMENT,17613.55,C2036880799,0.0,0.0,M192857969,0.0,0.0,0
TRANSFER,536457.3,C9608050,0.0,0.0,C975047155,1258328.43,1794785.73,0
PAYMENT,20499.9,C1973611851,106809.0,86309.1,M992217254,0.0,0.0,0
PAYMENT,10507.17,C1655481189,231599.65,221092.48,M218722285,0.0,0.0,0
CASH_IN,50945.14,C2144558402,7491913.09,7542858.23,C657051357,191307.77,140362.62,0
PAYMENT,3443.52,C1910875038,100821.19,97377.68,M829143337,0.0,0.0,0
TRANSFER,209000.76,C1838063845,11371.0,0.0,C443818394,631702.27,840703.03,0
CASH_OUT,239751.71,C1237612789,610.0,0.0,C1178498925,0.0,239751.71,0
CASH_IN,250074.0,C1036388908,10879.0,260953.0,C429963018,0.0,0.0,0
CASH_OUT,64399.98,C1166640101,23840.0,0.0,C1912678120,0.0,2111574.7,0
CASH_OUT,15525.33,C435036324,0.0,0.0,C1515205395,58881.0,646288.35,0
PAYMENT,1738.53,C1954118300,0.0,0.0,M542213667,0.0,0.0,0
PAYMENT,25911.04,C604572176,11388.0,0.0,M947054500,0.0,0.0,0
PAYMENT,360.04,C544156892,0.0,0.0,M540636733,0.0,0.0,0
PAYMENT,994.63,C1244292325,381949.0,380954.37,M924849226,0.0,0.0,0
CASH_OUT,235114.79,C1309689672,66538.0,0.0,C1318000211,0.0,239137.72,0
CASH_IN,57923.59,C861740685,22105.0,80028.59,C1965537319,0.0,0.0,0
PAYMENT,9254.62,C6998142,99199.83,89945.21,M366116375,0.0,0.0,0
CASH_OUT,84377.73,C522619986,0.0,0.0,C166387148,2004342.36,3826987.52,0
CASH_IN,9950.94,C1095341326,192.0,10142.94,C1616930619,0.0,0.0,0
PAYMENT,15058.78,C1301788921,0.0,0.0,M1258926284,0.0,0.0,0
PAYMENT,6321.2,C1814388198,23291.0,16969.8,M335335857,0.0,0.0,0
CASH_IN,298231.36,C971922925,6744709.44,7042940.8,C888093970,853949.74,555718.38,0
PAYMENT,17358.78,C1514086046,51726.73,34367.95,M362449169,0.0,0.0,0
CASH_OUT,285395.7,C632897659,222.0,0.0,C1023013216,52889.76,511673.34,0
CASH_OUT,248527.89,C812460562,0.0,0.0,C1545454825,12200000.0,12400000.0,0
CASH_OUT,214069.13,C1602019341,0.0,0.0,C1539349281,353508.0,0.0,0
CASH_OUT,134427.42,C607770706,607859.0,473431.58,C477578126,56572.68,191000.1,0
PAYMENT,4251.76,C1558418255,10120.22,5868.46,M1807597575,0.0,0.0,0
PAYMENT,8138.85,C263162742,53274.0,45135.15,M1864657525,0.0,0.0,0
CASH_IN,202794.83,C962760482,18500000.0,18700000.0,C1588416140,710507.73,110759.32,0
PAYMENT,1469.11,C516804750,0.0,0.0,M1212291080,0.0,0.0,0
CASH_IN,124380.2,C1966155569,7883898.4,8008278.6,C19422918,204976.24,130188.21,0
PAYMENT,9798.19,C1946897396,333434.47,323636.28,M1276506201,0.0,0.0,0
CASH_OUT,271848.29,C1736935316,496923.46,225075.18,C2040882614,1369755.47,1641603.76,0
CASH_OUT,75571.13,C809628583,186.0,0.0,C317828165,2446047.98,2459732.06,0
PAYMENT,1064.54,C1274359101,0.0,0.0,M594914617,0.0,0.0,0
CASH_OUT,17393.57,C1435921116,107132.0,89738.43,C165832169,0.0,17393.57,0
CASH_OUT,21370.16,C1074025310,210797.94,189427.78,C1803101741,231910.96,253281.12,0
CASH_OUT,135560.52,C403171843,285.0,0.0,C1576632308,0.0,135560.52,0
CASH_OUT,76614.33,C1213555377,33651.0,0.0,C799335481,82326.4,158940.73,0
CASH_OUT,221907.17,C1119605685,0.0,0.0,C221346258,1092895.71,1314802.88,0
PAYMENT,9905.98,C179066968,38780.0,28874.02,M466138049,0.0,0.0,0
CASH_OUT,222786.88,C1962165277,3084.0,0.0,C1689323704,1694670.17,1917457.04,0
CASH_OUT,103133.25,C1352094141,2573.0,0.0,C705796802,1879660.4,1982793.65,0
CASH_OUT,181475.81,C1890947500,0.0,0.0,C1890258988,5693754.3,5875230.11,0
CASH_IN,83661.81,C932108806,15400000.0,15500000.0,C1725548614,1948898.29,1919907.1,0
PAYMENT,3172.96,C2080905958,0.0,0.0,M1038377224,0.0,0.0,0
CASH_OUT,70651.3,C1847621246,0.0,0.0,C1799429493,480080.08,550731.37,0
PAYMENT,5038.5,C781007087,0.0,0.0,M1510531406,0.0,0.0,0
CASH_OUT,140202.6,C9353621,31916.0,0.0,C1492272371,138359.19,278561.79,0
CASH_IN,376079.54,C2123020101,235678.28,611757.82,C1223591088,1611234.4,989674.54,0
PAYMENT,21685.0,C1204321380,511542.0,489857.0,M243147194,0.0,0.0,0
